"Chr","identity_NCBI","tx","gene","pr","identity_Zijun","identity"
"NC_050467.1","lncRNA","XR_004963431.1","LOC118645820",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963433.1","LOC118645820",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963430.1","LOC118645820",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963699.1","LOC118646082",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964002.1","LOC118646427",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001139127.3","LOC105837184",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965074.1","LOC118647928",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965075.1","LOC118647929",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965076.1","LOC118647930",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962637.1","LOC118644848",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965471.1","LOC118648874",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964684.1","LOC118647406",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964683.1","LOC105828441",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003625703.2","LOC105828441",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964685.1","LOC118647407",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963070.1","LOC118645315",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963068.1","LOC118645315",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963072.1","LOC118645319",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964009.1","LOC118646432",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965419.1","LOC118648731",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964986.1","LOC118647850",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964985.1","LOC118647849",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626844.2","LOC114255616",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965047.1","LOC118647879",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003625495.2","LOC105839345",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003625289.2","LOC114253835",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965211.1","LOC105839337",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965212.1","LOC105839337",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003625464.2","LOC105839337",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965208.1","LOC105839337",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965213.1","LOC105839337",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965260.1","LOC118648364",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965256.1","LOC118648359",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965264.1","LOC118648374",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626402.2","LOC114255108",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965262.1","LOC118648369",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963869.1","LOC118646313",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963418.1","LOC118645763",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963865.1","LOC118646305",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964614.1","LOC114254362",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964612.1","LOC114254362",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003625729.2","LOC114254362",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964627.1","LOC118647310",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964628.1","LOC118647310",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964630.1","LOC118647317",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965493.1","LOC118648904",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965494.1","LOC118648905",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963080.1","LOC105834020",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963078.1","LOC105834020",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963086.1","LOC105834020",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963082.1","LOC105834020",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963089.1","LOC105834020",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963092.1","LOC105834020",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963079.1","LOC105834020",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963094.1","LOC105834020",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963096.1","LOC105834020",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963103.1","LOC118645402",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964726.1","LOC118647453",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963533.1","LOC118645887",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626230.2","LOC114254930",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963681.1","LOC118646048",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964920.1","LOC118647780",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964921.1","LOC118647784",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626695.2","LOC114255408",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965504.1","LOC118648913",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965505.1","LOC118648914",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963303.1","LOC118645591",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962905.1","LOC118645123",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963941.1","LOC118646396",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963942.1","LOC114254557",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963940.1","LOC118646395",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963946.1","LOC118646399",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965193.1","LOC118648187",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964682.1","LOC118647397",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964692.1","LOC118647408",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964704.1","LOC118647427",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963923.1","LOC118646379",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965483.1","LOC105828626",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964728.1","LOC118647455",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963709.1","LOC118646122",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963643.1","LOC118646013",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963645.1","LOC118646013",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963646.1","LOC118646013",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963644.1","LOC118646013",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963648.1","LOC118646016",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963647.1","LOC118646015",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962817.1","LOC118645051",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964748.1","LOC118647548",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626841.2","LOC105828181",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964005.1","LOC118646428",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964940.1","LOC118647801",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962528.1","LOC114254326",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962529.1","LOC114254326",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962530.1","LOC114254326",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626140.2","LOC114254839",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963207.1","LOC105832293",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963315.1","LOC105832293",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963404.1","LOC105832293",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963516.1","LOC105832293",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962059.1","LOC118648919",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962060.1","LOC118644246",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964655.1","LOC118647368",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964656.1","LOC118647371",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965488.1","LOC118648900",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965487.1","LOC118648899",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965486.1","LOC118648899",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965489.1","LOC118648901",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963149.1","LOC118645461",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963152.1","LOC118645463",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963150.1","LOC118645462",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626893.2","LOC114255700",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963420.1","LOC118645811",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963421.1","LOC118645813",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965185.1","LOC118648157",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965186.1","LOC118648157",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965110.1","LOC105839405",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965111.1","LOC118647969",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964666.1","LOC105841055",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964670.1","LOC118647390",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964667.1","LOC118647390",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001139237.3","LOC105838626",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965510.1","LOC118648918",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965506.1","LOC118648915",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965507.1","LOC105829157",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626166.2","LOC105829157",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965508.1","LOC118648916",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965509.1","LOC118648917",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626132.2","LOC114254834",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963538.1","LOC118645896",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965017.1","LOC118647873",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626159.2","LOC105828802",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965021.1","LOC105834723",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965034.1","LOC118647876",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965033.1","LOC118647876",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965040.1","LOC118647880",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965503.1","LOC118648912",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965502.1","LOC118648912",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962752.1","LOC118644991",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962754.1","LOC118644993",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964743.1","LOC118647484",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963506.1","LOC118645862",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001138639.3","LOC105831124",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963218.1","LOC118645508",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965463.1","LOC118648858",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965462.1","LOC118648857",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965461.1","LOC114254875",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965479.1","LOC105836616",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965480.1","LOC118648890",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964959.1","LOC118647818",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963076.1","LOC118645323",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626142.2","LOC114254843",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963416.1","LOC118645734",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626125.2","LOC114254831",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962567.1","LOC114254829",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626124.2","LOC114254830",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001138917.3","LOC105834691",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962985.1","LOC105835367",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962986.1","LOC105835367",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962984.1","LOC105835367",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962989.1","LOC105835367",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962983.1","LOC105835367",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962982.1","LOC105835367",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962990.1","LOC105835367",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626184.2","LOC114254877",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626183.2","LOC114254877",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962257.1","LOC118644479",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962258.1","LOC118644479",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962259.1","LOC118644481",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626139.2","LOC105836207",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962262.1","LOC118644485",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003625414.2","LOC114253986",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962740.1","LOC118644973",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962741.1","LOC118644974",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965499.1","LOC118648908",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965500.1","LOC118648910",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963558.1","LOC118645917",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962578.1","LOC118644804",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001138677.3","LOC105831868",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962396.1","LOC105831867",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003625663.2","LOC105831867",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962395.1","LOC105831867",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962393.1","LOC105831867",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003625664.2","LOC105831867",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003625662.2","LOC105831867",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001138674.3","LOC105831867",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001138675.3","LOC105831867",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001138676.3","LOC105831867",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962397.1","LOC118644616",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965484.1","LOC118648893",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964699.1","LOC118647428",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965041.1","LOC118647882",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963922.1","LOC105827824",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965046.1","LOC118647885",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963509.1","LOC118645863",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964413.1","LOC105835709",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964444.1","LOC105835709",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964421.1","LOC105835709",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965473.1","LOC118648886",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965048.1","LOC118647887",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964634.1","LOC118647325",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964657.1","LOC118647372",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962223.1","LOC118644411",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001138546.3","LOC105830155",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965446.1","LOC118648820",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965418.1","LOC118648723",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965411.1","LOC118648723",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965408.1","LOC118648723",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965124.1","LOC118647982",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964999.1","LOC118647859",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963251.1","LOC105835386",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001138974.3","LOC105835386",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962823.1","LOC118645067",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962824.1","LOC118645068",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965088.1","LOC118647939",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963268.1","LOC118645558",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963269.1","LOC118645558",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963271.1","LOC118645558",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963273.1","LOC118645558",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963266.1","LOC118645558",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963267.1","LOC118645558",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001138458.3","LOC105829076",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965056.1","LOC118647914",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963812.1","LOC118646271",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963542.1","LOC105836761",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963539.1","LOC105836761",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962833.1","LOC114254328",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962617.1","LOC105840898",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962613.1","LOC105838965",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962612.1","LOC105838965",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963487.1","LOC118645859",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964725.1","LOC118647451",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963834.1","LOC118646293",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963835.1","LOC118646293",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963877.1","LOC118646321",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963878.1","LOC118646321",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965101.1","LOC118647957",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963687.1","LOC118646065",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964971.1","LOC118647837",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626237.2","LOC105840985",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962822.1","LOC118645066",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964974.1","LOC118647842",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626380.1","LOC114255067",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001139183.3","LOC105837845",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001139184.3","LOC105837845",NA,NA,"lncRNA"
